image_name,mask_name,threshold,image_size,Vein Density (VD),Vein Thickness (VT),Areole Size (AS),Number of Areoles (NA),Branching Angle (BA),Vein-to-Vein Distance (VVD),Main Veins (MV)
rf78-2p_region3.png,rf78-2p_region3_mask.png,0.5,224x224,0.5940883816213053,4.565581766264113,10.99079874454406,6,115.9322033898305,1.075,7
rf78-2p_region4.png,rf78-2p_region4_mask.png,0.5,224x224,0.5919450515142054,4.792897356177534,10.973511752565233,5,114.29508196721312,1.005,5
rf79-1p_region1.png,rf79-1p_region1_mask.png,0.5,224x224,0.4657561361836896,4.64736769710014,12.619130925616,5,113.75,1.0,6
rf79-1p_region2.png,rf79-1p_region2_mask.png,0.5,224x224,0.46167924959963397,4.727570986209203,5.863230142835039,1,113.66666666666667,1.0,10
rf79-1p_region5.png,rf79-1p_region5_mask.png,0.5,224x224,0.461369095276221,4.3401969339931155,12.30490356525621,6,114.0,1.005,5
rf79-1p_region6.png,rf79-1p_region6_mask.png,0.5,224x224,0.45776330076004346,4.434065091319777,16.57364884624919,3,115.60975609756098,1.0,9
rs21-0p_region1.png,rs21-0p_region1_mask.png,0.5,224x224,0.411836806163544,4.389678404911558,17.0106633959412,3,111.96428571428571,1.0,9
rs21-0p_region2.png,rs21-0p_region2_mask.png,0.5,224x224,0.42554488645023625,4.356883713745128,13.981605203298828,4,114.0,1.0,7
rs21-0p_region3.png,rs21-0p_region3_mask.png,0.5,224x224,0.4092270820850809,4.251928784667504,23.63373911608312,2,114.1304347826087,1.0,9
rs21-0p_region4.png,rs21-0p_region4_mask.png,0.5,224x224,0.42254483347566185,4.1749595915022475,21.153844343687645,2,112.82608695652173,1.0,10
rs22-1p_region1.png,rs22-1p_region1_mask.png,0.5,224x224,0.524007482851798,4.4467378143871334,13.595684524737344,4,112.61538461538461,1.0,9
rs22-1p_region2.png,rs22-1p_region2_mask.png,0.5,224x224,0.5069377990430622,4.493455088077485,12.420446968193488,7,115.55555555555556,1.0,1
rs22-1p_region3.png,rs22-1p_region3_mask.png,0.5,224x224,0.490760977548182,4.144926110807842,14.038729624001704,5,113.80952380952381,1.015,6
rs22-1p_region4.png,rs22-1p_region4_mask.png,0.5,224x224,0.5025732383214568,4.170620224743897,15.352405140074438,3,114.14634146341463,1.03,11
rs23-2p_region1.png,rs23-2p_region1_mask.png,0.5,224x224,0.49299855142443266,4.137706267785947,11.195130265464812,6,114.25531914893617,1.0,5
rs23-2p_region4.png,rs23-2p_region4_mask.png,0.5,224x224,0.47396071265418,4.295958421487461,15.685650853029053,4,113.26530612244898,1.0,4
rs23-2p_region6.png,rs23-2p_region6_mask.png,0.5,224x224,0.5574162679425837,4.76172537891431,8.56355398690381,2,112.32558139534883,1.0,6
rs23-2p_region7.png,rs23-2p_region7_mask.png,0.5,224x224,0.5625,4.486714785217953,10.415990028922153,2,116.5909090909091,1.0,7
rs24-1p_region1.png,rs24-1p_region1_mask.png,0.5,224x224,0.38007159904534604,4.263019517838334,9.0270333367641,1,113.73134328358209,1.05,15
